Years Since 1971,Trans./mm2,Year
0,192,1971
1,250,1972
3,727,1974
4,167,1975
5,472,1976
7,879,1978
8,"1,545",1979
10,"1,917",1981
11,"2,735",1982
12,"2,444",1983
13,"2,235",1984
14,"2,644",1985
15,"1,000",1986
16,"2,676",1987
17,"2,951",1988
18,"6,822",1989
19,"7,895",1990
20,"6,338",1991
22,"10,544",1993
23,"11,468",1994
24,"50,000",1995
25,"17,131",1996
26,"54,321",1997
27,"66,372",1998
28,"180,508",1999
29,"262,500",2000
30,"555,556",2001
31,"522,565",2002
32,"1,096,257",2003
33,"1,370,370",2004
34,"1,181,818",2005
35,"2,852,349",2006
36,"3,841,121",2007
37,"3,777,336",2008
38,"2,612,717",2009
39,"4,875,000",2010
40,"5,370,370",2011
41,"8,750,000",2012
42,"13,774,105",2013
43,"23,437,500",2014
44,"20,847,811",2015
45,"41,493,776",2016
46,"56,865,178",2017
47,"93,079,725",2018